commune_id;commune_nom;daira_id
1;ADRAR;1
2;TAMEST;6
3;CHAROUINE;5
4;REGGANE;7
5;IN ZGHMIR;11
6;TIT;3
7;KSAR KADDOUR;9
8;TSABIT;10
9;TIMIMOUN;8
10;OULED SAID;8
11;ZAOUIET KOUNTA;11
12;AOULEF;3
13;TIMEKTEN;3
14;TAMANTIT;6
15;FENOUGHIL;6
16;TINERKOUK;9
17;DELDOUL;2
18;SALI;7
19;AKABLI;3
20;METARFA;2
21;OULED AHMED TIMMI;1
22;BOUDA;1
23;AOUGROUT;2
24;TALMINE;5
25;BORDJ BADJI MOKHTAR;4
26;SEBAA;10
27;OULED AISSA;5
28;TIMIAOUINE;4
29;CHLEF;162
30;TENES;169
31;BENAIRIA;170
32;EL KARIMIA;163
33;TADJENA;158
34;TAOUGRIT;168
35;BENI HAOUA;160
36;SOBHA;161
37;HARCHOUN;163
38;OULED FARES;167
39;SIDI AKKACHA;169
40;BOUKADIR;161
41;BENI RACHED;165
42;TALASSA;158
43;HERENFA;159
44;OUED GOUSSINE;160
45;DAHRA;168
46;OULED ABBES;165
47;SENDJAS;162
48;ZEBOUDJA;170
49;OUED SLY;161
50;ABOU EL HASSANE;158
51;EL MARSA;164
52;CHETTIA;167
53;SIDI ABDERRAHMANE;169
54;MOUSSADEK;164
55;EL HADJADJ;166
56;LABIOD MEDJADJA;167
57;OUED FODDA;165
58;OULED BEN ABDELKADER;166
59;BOUZEGHAIA;170
60;AIN MERANE;159
61;OUM DROU;162
62;BREIRA;160
63;BENI BOUATTAB;163
64;LAGHOUAT;261
65;KSAR EL HIRANE;260
66;BENACER BENCHOHRA;260
67;SIDI MAKHLOUF;263
68;HASSI DELAA;259
69;HASSI R'MEL;259
70;AIN MADHI;255
71;TADJEMOUT;255
72;KHENEG;255
73;GUELTAT SIDI SAAD;258
74;AIN SIDI ALI;258
75;EL BEIDHA;258
76;BRIDA;256
77;EL GHICHA;257
78;HADJ MECHRI;256
79;SEBGAG;254
80;TAOUIALA;256
81;TADJROUNA;255
82;AFLOU;254
83;EL ASSAFIA;263
84;OUED MORRA;262
85;OUED M'ZI;262
86;EL HAOUAITA;255
87;SIDI BOUZID;254
88;OUM EL BOUAGHI;372
89;AIN BEIDA;364
90;AIN M'LILA;367
91;BEHIR CHERGUI;371
92;EL AMIRIA;373
93;SIGUS;373
94;EL BELALA;371
95;AIN BABOUCHE;363
96;BERRICHE;364
97;OULED HAMLA;367
98;DHALAA;368
99;AIN KERCHA;366
100;HANCHIR TOUMGHANI;366
101;EL DJAZIA;368
102;AIN DISS;363
103;FKIRINA;369
104;SOUK NAAMANE;374
105;ZORG;364
106;EL FEDJOUDJ BOUGHRARA SA;365
107;OULED ZOUAI;374
108;BIR CHOUHADA;374
109;KSAR SBAHI;370
110;OUED NINI;369
111;MESKIANA;371
112;AIN FEKROUN;365
113;RAHIA;371
114;AIN ZITOUN;372
115;OULED GACEM;367
116;EL HARMILIA;366
117;BATNA;67
118;GHASSIRA;83
119;MAAFA;64
120;MEROUANA;74
121;SERIANA;79
122;MENAA;73
123;EL MADHER;71
124;TAZOULT;80
125;N GAOUS;75
126;GUIGBA;77
127;INOUGHISSEN;72
128;OUYOUN EL ASSAFIR;80
129;DJERMA;71
130;BITAM;66
131;AZIL ABEDELKADER;70
132;ARRIS;65
133;KIMMEL;83
134;TILATOU;78
135;AIN DJASSER;63
136;OULED SELLEM;77
137;TIGHARGHAR;73
138;AIN YAGOUT;71
139;FESDIS;67
140;SEFIANE;75
141;RAHBAT;77
142;TIGHANIMINE;65
143;LEMCENE;76
144;KSAR BELLEZMA;74
145;SEGGANA;78
146;ICHEMOUL;72
147;FOUM TOUB;72
148;BENI FOUDHALA EL HAKANIA;64
149;OUED EL MA;74
150;TALKHAMT;77
151;BOUZINA;68
152;CHEMORA;69
153;OUED CHAABA;67
154;TAXLENT;76
155;GOSBAT;77
156;OULED AOUF;64
157;BOUMAGUEUR;75
158;BARIKA;66
159;DJEZZAR;70
160;T KOUT;83
161;AIN TOUTA;64
162;HIDOUSSA;74
163;TENIET EL ABED;81
164;OUED TAGA;81
165;OULED FADEL;82
166;TIMGAD;82
167;RAS EL AIOUN;77
168;CHIR;81
169;OULED SI SLIMANE;76
170;ZANET EL BEIDA;79
171;M DOUKAL;66
172;OULED AMMAR;70
173;EL HASSI;63
174;LAZROU;79
175;BOUMIA;71
176;BOULHILAT;69
177;LARBAA;68
178;BEJAIA;101
179;AMIZOUR;98
180;FERAOUN;98
181;TAOURIT IGHIL;96
182;CHELLATA;97
183;TAMOKRA;97
184;TIMEZRIT;114
185;SOUK EL TENINE;111
186;M'CISNA;109
187;TINEBDAR;110
188;TICHY;113
189;SMAOUN;98
190;KENDIRA;100
191;TIFRA;110
192;IGHRAM;97
193;AMALOU;109
194;IGHIL-ALI;107
195;FENAIA IL MATEN;105
