daira_id;daira_nom;wilaya_id
1;ADRAR;1
2;AOUGROUT;1
3;AOULEF;1
4;BORDJ BADJI MOKHTAR;1
5;CHAROUINE;1
6;FENOUGHIL;1
7;REGGANE;1
8;TIMIMOUN  ;1
9;TINERKOUK;1
10;TSABIT;1
11;ZAOUIAT KOUNTA;1
12;AIN KIHEL;2
13;AIN LARBAA;2
14;AIN TEMOUCHENT;2
15;BENI SAF;2
16;EL AMRIA;2
17;EL MALEH;2
18;HAMMAM BOU HADJAR;2
19;OULHASSA GHERABA;2
20;AIN DEFLA;3
21;AIN LECHIAKH;3
22;BATHIA;3
23;BORDJ EL EMIR KHALED;3
24;BOUMEDFAA;3
25;DJELIDA;3
26;DJENDEL;3
27;EL ABADIA;3
28;EL AMRA;3
29;EL ATTAF;3
30;HAMMAM RIGHA;3
31;KHEMIS;3
32;MILIANA;3
33;ROUINA;3
34;BAB EL OUED;4
35;BARAKI;4
36;BIR MOURAD RAIS;4
37;BIRTOUTA;4
38;BOUZAREAH;4
39;CHERAGA;4
40;DAR EL BEIDA;4
41;DRARIA;4
42;EL HARRACH;4
43;HUSSEIN DEY;4
44;ROUIBA;4
45;SIDI M'HAMED;4
46;ZERALDA;4
47;AIN EL BERDA;5
48;ANNABA;5
49;BERRAHAL;5
50;CHETAIBI;5
51;EL BOUNI;5
52;EL HADJAR;5
53;AIN TAGHROUT;6
54;BIR KASDALI;6
55;BORDJ BOU ARRERIDJ;6
56;BORDJ GHEDIR;6
57;BORDJ ZEMMOURA;6
58;DJAAFRA;6
59;EL HAMADIA;6
60;MANSOURAH;6
61;MEDJANA;6
62;RAS EL OUED;6
63;AIN DJASSER;7
64;AIN TOUTA;7
65;ARRIS;7
66;BARIKA;7
67;BATNA;7
68;BOUZINA;7
69;CHEMORA;7
70;DJEZZAR;7
71;EL MADHER;7
72;ICHEMOUL;7
73;MENAA;7
74;MEROUANA;7
75;N'GAOUS;7
76;OULED SI SLIMANE;7
77;RAS EL AIOUN;7
78;SEGGANA;7
79;SERIANA;7
80;TAZOULT;7
